City_ID,City,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed,Country
80,Vaini,-21.2,-175.2,broken clouds,78.96,78,75,11.5,TO
81,Khatanga,71.9667,102.5,light snow,23.77,96,99,11.32,RU
82,Lebu,-37.6167,-73.65,overcast clouds,50.63,86,100,3.24,CL
83,Bathsheba,13.2167,-59.5167,scattered clouds,79.41,94,40,10.36,BB
84,Mitsamiouli,-11.3847,43.2844,clear sky,73.26,77,4,3.24,KM
85,Avarua,-21.2078,-159.775,scattered clouds,77.05,57,40,19.57,CK
86,Ipoti,7.8738,5.0769,broken clouds,68.22,99,75,2.35,NG
87,Palamos,41.8484,3.1291,overcast clouds,63.0,83,87,3.0,ES
88,Lavrentiya,65.5833,-171.0,few clouds,39.6,71,22,11.77,RU
89,Ruangwa,-10.0667,38.9333,clear sky,62.67,94,7,0.43,TZ
90,Leningradskiy,69.3833,178.4167,overcast clouds,30.4,85,100,3.74,RU
91,Kaihua,23.3687,104.28,overcast clouds,65.26,93,100,4.0,CN
92,Vila Frescainha,41.5385,-8.6397,clear sky,67.64,56,1,4.83,PT
93,Hermanus,-34.4187,19.2345,overcast clouds,58.8,81,88,12.48,ZA
94,Victoria,22.2855,114.1577,broken clouds,86.38,82,60,5.99,HK
95,Ilesha,7.1371,5.2583,overcast clouds,70.14,99,100,2.73,NG
96,Kapuskasing,49.4169,-82.4331,broken clouds,46.49,76,75,5.75,CA
97,Buluang,13.3068,123.3425,scattered clouds,85.32,70,50,2.24,PH
98,Wanning,18.8003,110.3967,few clouds,82.92,78,20,6.04,CN
99,Alta Floresta,-9.8756,-56.0861,overcast clouds,81.97,52,100,4.29,BR
100,Saint George,37.1041,-113.5841,scattered clouds,84.43,46,40,13.8,US
101,Georgetown,5.4112,100.3354,few clouds,82.89,86,20,3.44,MY
102,Suluq,31.6682,20.2521,clear sky,71.73,70,0,10.0,LY
103,San Felipe,10.3399,-68.7425,overcast clouds,73.45,87,100,2.48,VE
104,Kimbe,-5.5502,150.1429,few clouds,89.22,59,24,5.59,PG
105,Puerto Carreno,6.189,-67.4859,overcast clouds,76.41,87,93,3.69,CO
106,Pandan,14.0453,124.1694,broken clouds,85.23,71,69,8.05,PH
107,Placer,39.0666,-120.7677,clear sky,74.82,44,0,1.01,US
108,Tual,-5.6667,132.75,few clouds,82.65,74,12,10.31,ID
109,Tilichiki,60.4667,166.1,broken clouds,38.44,68,82,9.22,RU
110,Cachoeira Do Sul,-30.0392,-52.8939,scattered clouds,58.32,85,50,4.7,BR
111,Bundaberg,-24.85,152.35,broken clouds,74.21,62,82,3.0,AU
112,Krasnoselkup,65.7,82.4667,overcast clouds,30.45,74,100,13.4,RU
113,Port Elizabeth,-33.918,25.5701,clear sky,64.31,67,0,16.11,ZA
114,Sandnessjoen,66.0217,12.6316,overcast clouds,46.92,90,100,16.73,NO
115,Sherpur,25.0188,90.0175,moderate rain,75.24,96,100,9.01,BD
116,Otavi,-19.65,17.3333,clear sky,75.33,16,0,7.18,NA
117,Pacific Grove,36.6177,-121.9166,smoke,71.28,72,20,10.36,US
118,El Sauzal,31.9,-116.6833,scattered clouds,68.41,78,38,7.43,MX
119,Mahebourg,-20.4081,57.7,scattered clouds,70.09,78,40,14.97,MU
120,Sirjan,29.452,55.6814,clear sky,65.17,41,0,5.93,IR
121,Kazanskoye,55.6448,69.235,clear sky,28.74,72,5,7.43,RU
122,Saint-Leu,-21.15,55.2833,scattered clouds,67.03,73,27,3.78,RE
123,Thinadhoo,0.5333,72.9333,overcast clouds,82.06,69,100,17.34,MV
124,Hilo,19.7297,-155.09,scattered clouds,82.27,73,40,8.05,US
125,Atuona,-9.8,-139.0333,scattered clouds,76.95,75,38,17.67,PF
126,Bethel,41.3712,-73.414,overcast clouds,52.65,54,100,3.0,US
127,Upernavik,72.7868,-56.1549,broken clouds,20.43,86,58,9.55,GL
128,Carnarvon,-24.8667,113.6333,clear sky,69.73,48,0,17.43,AU
129,San Patricio,28.017,-97.5169,overcast clouds,79.84,46,100,6.64,US
130,Baykit,61.67,96.37,overcast clouds,29.19,90,90,3.04,RU
131,Saldanha,-33.0117,17.9442,overcast clouds,55.45,86,100,3.11,ZA
132,High Level,58.5169,-117.136,scattered clouds,59.11,36,40,4.61,CA
133,Pevek,69.7008,170.3133,overcast clouds,30.25,85,100,11.52,RU
134,Mar Del Plata,-38.0023,-57.5575,broken clouds,50.09,76,75,16.11,AR
135,Saskylakh,71.9167,114.0833,overcast clouds,25.72,95,100,12.46,RU
136,Jamestown,42.097,-79.2353,clear sky,47.84,59,0,10.36,US
137,Chokurdakh,70.6333,147.9167,scattered clouds,23.59,67,41,10.0,RU
138,Kachug,53.9606,105.8817,overcast clouds,30.45,73,99,7.85,RU
139,Tabora,-5.0167,32.8,overcast clouds,66.25,42,100,3.89,TZ
140,Dom Pedrito,-30.9828,-54.6731,clear sky,53.82,80,0,5.86,BR
141,Acarau,-2.8856,-40.12,clear sky,77.86,78,6,16.96,BR
142,Tarauaca,-8.1614,-70.7656,light rain,75.51,83,30,2.64,BR
143,Port-Cartier,50.0334,-66.8654,few clouds,42.48,58,11,5.14,CA
144,Seoul,37.5683,126.9778,light rain,72.84,97,100,6.91,KR
145,Saraland,30.8207,-88.0706,overcast clouds,75.24,50,95,6.06,US
146,Talnakh,69.4865,88.3972,overcast clouds,31.21,92,100,11.5,RU
147,Shimoda,34.6667,138.95,scattered clouds,73.76,67,33,8.72,JP
148,Castro,-24.7911,-50.0119,few clouds,58.21,93,15,5.1,BR
149,Fallon,39.4735,-118.7774,clear sky,78.67,17,0,8.05,US
150,Forio,40.7342,13.8646,few clouds,70.43,82,24,8.01,IT
151,Labuhan,-6.8844,112.2051,overcast clouds,82.71,73,99,8.3,ID
152,Maniitsoq,65.4167,-52.9,scattered clouds,35.29,60,46,2.01,GL
153,Goderich,43.7501,-81.7165,clear sky,53.91,71,0,8.05,CA
154,Paamiut,61.994,-49.6678,broken clouds,35.33,68,59,7.52,GL
155,Bredasdorp,-34.5322,20.0403,overcast clouds,52.97,94,100,6.73,ZA
156,Kodiak,57.79,-152.4072,overcast clouds,53.11,71,100,3.44,US
157,Karratha,-20.7377,116.8463,clear sky,79.12,46,0,13.73,AU
158,Omsukchan,62.5333,155.8,overcast clouds,20.61,87,100,6.35,RU
159,Lisakovsk,52.5369,62.4936,few clouds,36.07,35,18,5.61,KZ
160,Qaanaaq,77.484,-69.3632,scattered clouds,8.1,74,45,7.61,GL
161,Amarante,-6.2411,-42.8547,clear sky,79.05,28,5,3.74,BR
162,Tuktoyaktuk,69.4541,-133.0374,overcast clouds,26.6,80,100,9.22,CA
163,Klyuchi,52.2667,79.1667,clear sky,28.36,79,0,7.43,RU
164,Pangody,65.85,74.4859,overcast clouds,33.8,76,100,14.9,RU
165,Carayao,-25.1833,-56.4,clear sky,62.35,71,0,4.47,PY
166,Qaqortoq,60.7167,-46.0333,scattered clouds,34.95,75,34,1.21,GL
167,Ponta Do Sol,32.6667,-17.1,clear sky,69.71,84,9,3.83,PT
168,Port-Gentil,-0.7193,8.7815,light rain,77.83,84,100,9.24,GA
169,Clovis,36.8252,-119.7029,smoke,87.84,39,20,8.05,US
170,Youghal,51.95,-7.8506,overcast clouds,57.09,98,98,6.6,IE
171,Serenje,-13.2325,30.2352,clear sky,59.18,46,0,3.22,ZM
172,Arraial Do Cabo,-22.9661,-42.0278,overcast clouds,69.15,90,100,7.94,BR
173,Nikolskoye,59.7035,30.7861,overcast clouds,44.49,86,100,8.21,RU
174,Caravelas,-17.7125,-39.2481,scattered clouds,73.2,93,32,6.44,BR
175,Aksha,50.2814,113.2867,few clouds,31.15,53,13,13.31,RU
176,Katobu,-4.9408,122.5276,broken clouds,85.6,66,71,1.54,ID
177,Hammerfest,70.6634,23.6821,overcast clouds,39.65,81,100,0.0,NO
178,Ulagan,50.6321,87.9563,clear sky,18.72,65,2,2.86,RU
179,Kavieng,-2.5744,150.7967,clear sky,85.23,66,8,8.68,PG
180,Itoman,26.1247,127.6694,few clouds,86.02,68,20,11.5,JP
181,Alofi,-19.0595,-169.9187,clear sky,80.49,61,7,14.97,NU
182,Tarcau,46.8667,26.1333,scattered clouds,49.6,87,37,6.13,RO
183,Dukat,62.55,155.55,overcast clouds,19.24,86,100,5.84,RU
184,Mayumba,-3.432,10.6554,light rain,75.69,88,100,3.27,GA
185,Torbay,47.6666,-52.7314,broken clouds,45.75,78,75,8.05,CA
186,Itarema,-2.9248,-39.9167,clear sky,77.76,78,6,15.9,BR
187,Hobyo,5.3505,48.5268,overcast clouds,76.32,88,99,19.26,SO
188,Severo-Kurilsk,50.6789,156.125,overcast clouds,48.58,65,100,11.56,RU
189,Gat,31.61,34.7642,clear sky,77.4,66,0,5.28,IL
190,Puerto Palomas,31.7667,-107.6167,scattered clouds,78.01,31,46,10.85,MX
191,Hasaki,35.7333,140.8333,broken clouds,79.21,64,78,6.31,JP
192,Cap-Aux-Meules,47.3821,-61.8597,few clouds,46.45,66,20,21.85,CA
193,Vestmannaeyjar,63.4427,-20.2734,overcast clouds,50.45,92,100,17.11,IS
194,Saint-Joseph,-21.3667,55.6167,few clouds,64.78,77,21,5.64,RE
195,Thompson,55.7435,-97.8558,scattered clouds,66.36,48,40,12.66,CA
196,Barabai,-2.5833,115.3833,light rain,80.15,82,100,0.98,ID
197,Nouadhibou,20.931,-17.0347,sand,75.18,57,0,11.5,MR
198,Balabac,7.9868,117.0645,overcast clouds,83.01,78,100,10.18,PH
199,Trelew,-43.249,-65.3051,overcast clouds,49.37,56,100,16.51,AR
200,Manggar,-2.8833,108.2667,overcast clouds,80.17,81,98,2.04,ID
201,Katsuura,35.1333,140.3,broken clouds,77.09,62,84,7.05,JP
202,Quatre Cocos,-20.2078,57.7625,scattered clouds,69.91,65,50,13.53,MU
203,Guerrero Negro,27.9769,-114.0611,clear sky,69.75,73,0,14.9,MX
204,Yerofey Pavlovich,53.9667,121.9667,overcast clouds,32.43,33,92,7.94,RU
205,Celestun,20.8667,-90.4,overcast clouds,78.8,73,93,8.52,MX
206,Iqaluit,63.7506,-68.5145,scattered clouds,28.13,79,40,0.0,CA
207,Bubaque,11.2833,-15.8333,broken clouds,81.37,76,63,8.21,GW
208,Copiapo,-27.3667,-70.3333,clear sky,51.49,49,0,0.74,CL
209,Clyde River,70.4692,-68.5914,overcast clouds,30.43,64,100,6.91,CA
210,Capitao Poco,-1.7464,-47.0594,broken clouds,73.11,92,58,3.8,BR
211,Aljezur,37.3191,-8.8033,few clouds,67.19,62,23,3.78,PT
212,Roald,62.5833,6.1333,light rain,52.32,82,40,14.97,NO
213,Iranshahr,27.2025,60.6848,clear sky,80.94,39,0,4.61,IR
214,Shegaon,20.7833,76.6833,overcast clouds,72.68,86,88,7.7,IN
215,Tasiilaq,65.6145,-37.6368,light rain,39.36,98,100,16.33,GL
216,Tiksi,71.6872,128.8694,overcast clouds,25.38,90,100,7.96,RU
217,Alenquer,-1.9417,-54.7383,broken clouds,78.94,69,84,3.85,BR
218,Santa Cruz,-17.8,-63.1667,overcast clouds,76.46,65,100,4.61,BO
219,Vila Franca Do Campo,37.7167,-25.4333,overcast clouds,74.19,87,86,11.61,PT
220,Berlevag,70.8578,29.0864,overcast clouds,40.8,87,100,5.75,NO
221,Xiaoweizhai,26.1903,107.5125,broken clouds,74.32,80,60,7.54,CN
222,Sterling,39.0062,-77.4286,light rain,54.55,93,100,10.36,US
223,Maiduguri,11.8464,13.1603,overcast clouds,78.78,72,100,11.25,NG
224,Ponta Delgada,37.7333,-25.6667,scattered clouds,74.5,83,40,12.66,PT
225,Bereda,43.2686,-7.5406,overcast clouds,59.58,100,100,2.59,ES
226,Faya,18.3851,42.4509,scattered clouds,59.11,64,44,1.32,SA
227,Veinticinco De Mayo,-35.4323,-60.1727,clear sky,62.98,51,9,10.0,AR
228,Tallahassee,30.4383,-84.2807,clear sky,73.09,62,2,5.28,US
229,Srandakan,-7.9386,110.2506,overcast clouds,78.84,84,100,8.21,ID
230,Ust-Nera,64.5667,143.2,overcast clouds,22.01,88,100,4.12,RU
231,San Quintin,30.4833,-115.95,scattered clouds,69.19,76,48,13.65,MX
232,Margate,51.3813,1.3862,overcast clouds,49.89,67,98,4.92,GB
233,Comodoro Rivadavia,-45.8667,-67.5,clear sky,49.86,71,0,18.41,AR
234,Azul,-36.777,-59.8585,few clouds,51.01,46,19,11.74,AR
235,San Juan,-31.5375,-68.5364,clear sky,75.04,30,0,19.98,AR
236,Hede,33.7681,120.2517,overcast clouds,86.47,60,100,9.26,CN
237,Manaure,11.7751,-72.4445,clear sky,83.23,78,4,10.49,CO
